Longitude, Latitude, Line Group (Path ID), Order of Points 
-122.43602309090907, 37.71813854545454, 1, 119
-122.43602309090907, 37.71813854545454, 1, 120
-122.43959319999999, 37.71386426666666, 1, 121
-122.43207708695651, 37.711327826086944, 1, 122
-122.41054242105264, 37.722696052631576, 1, 123
-122.41054242105264, 37.722696052631576, 1, 124
-122.41638763636364, 37.70942645454546, 1, 125
-122.415295, 37.70442836363637, 1, 126
-122.41239158333332, 37.71313991666666, 1, 127
-122.40631713333336, 37.7114098, 1, 128
-122.40631713333336, 37.7114098, 1, 129
-122.4130164375, 37.736802437499996, 1, 130
-122.4130164375, 37.736802437499996, 1, 131
-122.4079907894737, 37.74417431578948, 1, 132
-122.40654918181818, 37.75195127272727, 1, 133
-122.40654918181818, 37.75195127272727, 1, 134
-122.41074666666665, 37.75142555555556, 1, 135
